,Index,2023-03-15 Selenium Searchkey
0,499,Do Not Sell or Share My Personal Information
1,500,
2,501,
3,502,
4,503,
5,504,
6,505,DO NOT SELL MY PERSONAL INFORMATION
7,506,
8,507,Do Not Sell or Share My Personal Info
9,508,
10,509,
11,510,
12,511,
13,512,
14,513,
15,514,
16,515,
17,516,
18,517,
19,518,
20,519,
21,520,
22,521,
23,522,
24,523,
25,524,
26,525,
27,526,
28,527,
29,528,
30,529,
31,530,
32,531,
33,532,
34,533,
35,534,
36,535,
37,536,
38,537,Do Not Sell/Share My Personal Information
39,538,
40,539,
41,540,
42,541,
43,542,Do not sell my info
44,543,
45,544,
46,545,
47,546,
48,547,
49,548,
0,549,
1,550,CCPA / Do Not Sell My Info
2,551,
3,552,Do Not Sell or Share My Info
4,553,
5,554,Do Not Sell or Share My Personal Information
6,555,Do Not Sell My Personal Information
7,556,Do Not Sell My Personal Information
8,557,Do Not Sell My Personal Information
9,558,
10,559,
11,560,
12,561,
13,562,
14,563,
15,564,
16,565,
17,566,Do Not Sell My Personal Information
18,567,
19,568,
20,569,
21,570,
22,571,Do Not Sell My Personal Information
23,572,Do Not Sell or Share My Personal Information
24,573,
25,574,
26,575,
27,576,Do Not Sell My Personal Information
28,577,
29,578,
30,579,Do Not Sell or Share My Personal Information
31,580,Do not sell my information
32,581,
33,582,Do Not Sell My Personal Information
34,583,
35,584,
36,585,
37,586,
38,587,
39,588,
40,589,
41,590,
42,591,Do Not Sell My Personal Information
43,592,
0,593,CA Do Not Sell/Share My Personal Information
1,594,Do Not Sell or Share My Personal Information
2,595,
3,596,Do Not Sell My Data
4,597,Do Not Sell or Share My Personal information
5,598,Do Not Sell or Share My Personal Information
6,599,Do Not Sell Or Share My Personal Information
7,600,
8,601,
9,602,Do Not Sell Or Share My Personal Information
10,603,Do Not Sell My Personal Information
11,604,
12,605,
13,606,
14,607,
15,608,
16,609,
17,610,Do not sell or share my personal information
18,611,
19,612,
20,613,Do Not Sell or Share My Personal Information - Currently Sharing
21,614,
22,615,
23,616,
24,617,
25,618,
26,619,
27,620,
28,621,
29,622,Do Not Sell My Information
30,623,
31,624,
32,625,
33,626,
34,627,
35,628,Do not sell or share my info
36,629,Do Not Sell or Share My Personal Data
37,630,
38,631,Do not sell my info
39,632,Do Not Sell My Personal Information request
40,633,
41,634,
42,635,Do not sell or share my personal information
43,636,Do Not Sell or Share My Personal Data
44,637,
45,638,
46,639,
47,640,
48,641,
49,642,
0,943,
1,944,Do Not Sell My Personal Information
2,945,
3,946,
4,947,
5,948,
6,949,
7,950,
8,951,
9,952,
10,953,
11,954,
12,955,
13,956,
14,957,
15,958,
16,959,Do Not Sell or Share My Personal Information
17,960,
18,961,
19,962,AdChoices / Do Not Sell My Info
20,963,
21,964,
22,965,
23,966,
24,967,
25,968,
26,969,
27,970,
28,971,
29,972,
30,973,
31,974,
32,975,
33,976,
34,977,
35,978,
36,979,
37,980,
38,981,
39,982,Do Not Sell My Personal Information
40,983,
41,984,
42,985,
43,986,
44,987,
45,988,
46,989,
47,990,
48,991,Do Not Sell My Personal Information
49,992,
0,993,Do Not Sell or Share My Personal Information
1,994,Do Not Sell or Share My Information
2,995,
3,996,
4,997,
5,998,
6,999,
7,1000,
8,1001,
9,1002,
10,1003,
11,1004,
12,1005,
13,1006,
14,1007,
15,1008,
16,1009,
17,1010,
18,1011,
19,1012,
20,1013,
21,1014,
22,1015,Do Not Sell or Share My Personal Information
23,1016,
24,1017,
25,1018,
26,1019,
27,1020,
28,1021,
29,1022,Do Not Sell My Personal Information
30,1023,
31,1024,
32,1025,
33,1026,Do Not Sell My Personal Information
34,1027,Do Not Sell/Share My Personal Information
35,1028,DO NOT SELL MY DATA
36,1029,California: Do Not Sell My Personal Information
37,1030,
38,1031,
39,1032,
40,1033,
41,1034,
42,1035,
43,1036,
44,1037,
45,1038,
46,1039,
47,1040,
48,1041,Do Not Sell or Share My Personal Information
49,1042,
0,893,
1,894,
2,895,
3,896,
4,897,
5,898,Do not sell or share my personal information
6,899,Do not sell or share my personal information
7,900,
8,901,
9,902,
10,903,
11,904,Do Not Sell My Personal Information
12,905,
13,906,
14,907,
15,908,
16,909,
17,910,
18,911,
19,912,
20,913,
21,914,
22,915,
23,916,
24,917,
25,918,
26,919,Do Not Sell Or Share My Information
27,920,Do not sell or share my personal information
28,921,
29,922,
30,923,
31,924,Do Not Sell or Share My Personal Information
32,925,Do Not Sell My Personal Information
33,926,Do Not Sell or Share My Information
34,927,
35,928,
36,929,
37,930,
38,931,
39,932,
40,933,Do not sell my personal information
41,934,Do Not Sell or Share My Info
42,935,
43,936,
44,937,
45,938,
46,939,
47,940,
48,941,
49,942,Do Not Sell My Personal Information
0,743,
1,744,
2,745,
3,746,
4,747,
5,748,
6,749,
7,750,
8,751,
9,752,
10,753,
11,754,
12,755,Do Not Sell or Share My Personal Information
13,756,
14,757,Do Not Sell or Share My Information
15,758,Do Not Sell My Personal Information
16,759,Do Not Sell or Share My Personal Information
17,760,
18,761,
19,762,
20,763,
21,764,
22,765,
23,766,Do not sell my info
24,767,
25,768,DO NOT SELL MY PERSONAL INFORMATION
26,769,
27,770,
28,771,Do not sell my personal information
29,772,
30,773,
31,774,
32,775,Do Not Sell My Personal Information
33,776,
34,777,
35,778,
36,779,
37,780,
38,781,
39,782,
40,783,
41,784,
42,785,
43,786,
44,787,
45,788,
46,789,
47,790,Do Not Sell My Personal Information
48,791,Do Not Sell or Share My Personal Information
49,792,Do Not Sell or Share My Personal Information
0,793,
1,794,
2,795,Do Not Sell My Personal Information
3,796,Do Not Sell or Share My Information
4,797,
5,798,Do Not Sell My Personal Information
6,799,
7,800,CA Do Not Sell or Share My Information
8,801,
9,802,
10,803,
11,804,Do Not Sell My Information
12,805,
13,806,
14,807,
15,808,
16,809,
17,810,
18,811,
19,812,Do Not Sell My Personal Information
20,813,Do Not Sell My Personal Information
21,814,
22,815,
23,816,Do Not Sell My Personal Information
24,817,
25,818,
26,819,
27,820,Do Not Sell or Share My Personal Information
28,821,
29,822,
30,823,Do Not Sell or Share My Personal Information
31,824,Do Not Sell or Share My Personal Information
32,825,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
33,826,Do Not Sell or Share My Personal Information
34,827,
35,828,
36,829,
37,830,
38,831,
39,832,
40,833,Do Not Sell My Personal Information
41,834,Do Not Sell My Personal Information
42,835,
43,836,Do Not Sell My Personal Information
44,837,
45,838,
46,839,
47,840,
48,841,
49,842,
0,643,
1,644,
2,645,
3,646,
4,647,Do not sell or share my personal information
5,648,
6,649,
7,650,
8,651,
9,652,
10,653,
11,654,
12,655,
13,656,Do Not Sell My Info
14,657,
15,658,
16,659,
17,660,
18,661,
19,662,
20,663,
21,664,Do Not Sell or Share My Personal Information
22,665,Do not sell or share my personal information
23,666,DO NOT SELL OR SHARE MY PERSONAL INFO
24,667,
25,668,"Do Not Sell My Personal Information
(Opens in a new window)"
26,669,
27,670,Do Not Sell or Share My Information
28,671,Do not sell or share my personal information
29,672,
30,673,Do not sell or share my personal information
31,674,
32,675,Do Not Sell or Share My Personal Information
33,676,
34,677,Do not sell or share my personal information
35,678,
36,679,
37,680,Do Not Sell or Share My Personal Info
38,681,
39,682,
40,683,
41,684,
42,685,
43,686,
44,687,Do Not Sell Or Share My Personal Data
45,688,Do Not Sell or Share My Personal Information
46,689,
47,690,
48,691,
49,692,
0,693,
1,694,
2,695,
3,696,
4,697,
5,698,
6,699,
7,700,Do Not Sell or Share My Personal Information
8,701,
9,702,Do Not Sell or Share My Personal Information
10,703,Do Not Sell or Share My Personal Information
11,704,Do Not Sell My Personal Information
12,705,
13,706,
14,707,
15,708,
16,709,Do Not Sell My Info
17,710,
18,711,
19,712,
20,713,
21,714,
22,715,
23,716,
24,717,DO NOT SELL OR SHARE MY PERSONAL INFO
25,718,
26,719,Do Not Sell My Personal Information
27,720,Do Not Sell or Share My Personal Information
28,721,Do Not Sell or Share My Personal Information
29,722,Do Not Sell or Share My Personal Information
30,723,DO NOT SELL MY PERSONAL INFO
31,724,
32,725,
33,726,
34,727,
35,728,
36,729,
37,730,
38,731,
39,732,
40,733,Do not sell my personal information
41,734,
42,735,
43,736,
44,737,Do not sell my personal information
45,738,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
46,739,
47,740,
48,741,
49,742,
0,843,
1,844,DO NOT SELL OR SHARE MY PERSONAL INFORMATION / TARGETED ADS
2,845,Do Not Sell or Share My Personal Info
3,846,
4,847,
5,848,
6,849,
7,850,Do Not Sell or Share My Personal Information
8,851,
9,852,
10,853,
11,854,
12,855,Do Not Sell
13,856,
14,857,Do Not Sell or Share My Info
15,858,
16,859,Do not sell or share my personal information.
17,860,
18,861,
19,862,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
20,863,
21,864,California Notice / Do Not Sell My Personal Information
22,865,Do Not Sell My Personal Information
23,866,
24,867,
25,868,
26,869,
27,870,
28,871,
29,872,Do Not Sell
30,873,
31,874,
32,875,
33,876,Do Not Sell or Share My Personal Info
34,877,
35,878,
36,879,
37,880,Do Not Sell My PI
38,881,
39,882,
40,883,
41,884,
42,885,
43,886,
44,887,
45,888,Do Not Sell My Personal Information
46,889,
47,890,
48,891,
49,892,DO NOT SELL MY INFO
0,1043,
1,1044,
2,1045,
3,1046,Do Not Sell or Share My Personal Information
4,1047,
5,1048,
6,1049,
7,1050,
8,1051,
9,1052,
10,1053,
11,1054,Do Not Sell or Share My Personal Information
12,1055,
13,1056,
14,1057,
15,1058,
16,1059,
17,1060,
18,1061,
19,1062,
20,1063,Do Not Sell or Share My Personal Information (CA residents only)
21,1064,
22,1065,
23,1066,Do Not Sell or Share My Personal Information (CA Residents Only)
24,1067,
25,1068,
26,1069,
27,1070,
28,1071,
29,1072,
30,1073,
31,1074,"Do Not Sell/Share My Personal Information
opens in new window"
32,1075,
33,1076,
34,1077,Do Not Sell My Personal Information
35,1078,
36,1079,
37,1080,
38,1081,
39,1082,
40,1083,
41,1084,
42,1085,
43,1086,Do not sell or share my personal information
44,1087,
45,1088,
46,1089,Do Not Sell My Personal Information
