,Unnamed: 0,Index,2023-02-17_Check,2023-02-17_filename,2023-02-17_Text,2023-02-17_Presence confirm,2023-01-07_Check,2023-01-07_filename,2023-01-07_Text,2023-01-07_Presence confirm,2023-01-14_Check,2023-01-14_filename,2023-01-14_Text,2023-01-14_Presence confirm,2023-02-08_Check,2023-02-08_filename,2023-02-08_Text,2023-02-08_Presence confirm
3,3,3,True,com_3,Do not sell or share my personal information,Yes,True,,,,True,com_3,Do not sell or share my personal information,Yes,True,com_3,Do not sell or share my personal information,Yes
14,14,14,True,,,,True,,,,True,,,,True,mindbodygreen_14,Do not sell or share my personal information,Yes
44,44,44,True,tacobell_44,Do not sell or share my personal information,Yes,True,,,,True,,,,True,,,
51,51,51,True,,,,True,livestrong_51,Do not sell my personal information,Yes,True,livestrong_51,Do not sell my personal information,Yes,True,,,
71,71,71,True,medscape_71,Do not sell my personal information,Yes,True,,,,True,,,,True,medscape_71,Do not sell my personal information,Yes
76,76,76,True,walgreens_76,Do not sell or share my personal information,Yes,True,walgreens_76,Do not sell or share my personal information,Yes,True,walgreens_76,Do not sell or share my personal information,Yes,True,,,
86,86,86,True,,,,True,,,,True,,,,True,mindbodygreen_86,Do not sell or share my personal information,Yes
90,90,90,True,,,,True,scarymommy_90,,No,True,,,,True,,,
93,93,93,True,com_93,Do not sell or share my personal information,Yes,True,,,,True,com_93,Do not sell or share my personal information,Yes,True,com_93,Do not sell or share my personal information,Yes
96,96,96,True,,,,True,,,,True,,,,True,deviantart_96,Do not sell or share my personal information,Yes
99,99,99,True,com_99,Do not sell my personal information,Yes,True,,,,True,,,,True,com_99,Do not sell my personal information,Yes
115,115,115,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,,,,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,gardeningknowhow_115,Do not sell or share my personal information,Yes
117,117,117,True,,,,True,gardenweb_117,Do not sell my personal information,Yes,True,,,,True,,,
119,119,119,True,,,,True,houzz_119,Do not sell my personal information,Yes,True,,,,True,,,
146,146,146,True,wsj_146,Do not sell or share my personal information,Yes,True,,,,True,wsj_146,Do not sell or share my personal information,Yes,True,wsj_146,Do not sell or share my personal information,Yes
156,156,156,True,,,,True,,,,True,,,,True,washingtonexaminer_156,Do not sell or share my personal information,Yes
162,162,162,True,rollingstone_162,Do not sell my personal information,Yes,True,,,,True,,,,True,,,
168,168,168,True,,,,True,,,,True,,,,True,rawstory_168,Do not sell or share my personal information,Yes
170,170,170,True,,,,True,,,,True,,,,True,salon_170,Do not sell or share my personal information,Yes
173,173,173,True,,,,True,,,,True,,,,True,alternet_173,Do not sell or share my personal information,Yes
176,176,176,True,org_176,Do not sell or share my personal information,Yes,True,,,,True,org_176,Do not sell or share my personal information,Yes,True,org_176,Do not sell or share my personal information,Yes
180,180,180,True,nydailynews_180,Do not sell or share my personal information,Yes,True,,,,True,nydailynews_180,Do not sell or share my personal information,Yes,True,nydailynews_180,Do not sell or share my personal information,Yes
182,182,182,True,,,,True,,,,True,,,,True,usatoday_182,Do not sell my personal information,Yes
187,187,187,True,,,,True,,,,True,gofundme_187,Do not sell my personal information,Yes,True,,,
195,195,195,True,,,,True,petco_195,California residents: do not sell my info,Yes,True,petco_195,California residents: do not sell my info,Yes,True,,,
208,208,208,True,,,,True,adoptapet_208,Do not sell my personal information,Yes,True,adoptapet_208,Do not sell my personal information,Yes,True,,,
214,214,214,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,,,,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,backyardchickens_214,Do not sell or share my personal information,Yes
217,217,217,True,com_217,Do not sell or share my personal information,Yes,True,,,,True,com_217,Do not sell or share my personal information,Yes,True,com_217,Do not sell or share my personal information,Yes
223,223,223,True,,,,True,overstock_223,Do not sell my personal information,Yes,True,overstock_223,Do not sell my personal information,Yes,True,,,
224,224,224,False,,,,True,scribd_224,Do not sell or share my personal information,Yes,False,,,,False,,,
310,310,310,True,livingsocial_310,Do not sell or share my personal information,Yes,True,livingsocial_310,Do not sell or share my personal information,Yes,True,,,,True,livingsocial_310,Do not sell or share my personal information,Yes
344,344,344,True,,,,True,ebay_344,Do not sell my personal information,Yes,True,ebay_344,Do not sell my personal information,Yes,True,,,
374,374,374,True,,,,True,,,,True,hsn_374,Do not sell my personal information,Yes,True,hsn_374,Do not sell my personal information,Yes
380,380,380,True,horoscope_380,Do not sell my personal information,Yes,True,horoscope_380,Do not sell my personal information,Yes,True,horoscope_380,Do not sell my personal information,Yes,False,,,
387,387,387,True,tarot_387,Do not sell my personal information,Yes,True,,,,True,,,,True,tarot_387,Do not sell my personal information,Yes
396,396,396,True,org_396,Do not sell or share my personal information,Yes,True,,,,True,org_396,Do not sell or share my personal information,Yes,True,org_396,Do not sell or share my personal information,Yes
461,461,461,True,,,,True,,,,True,,,,True,rapidtables_461,Do not sell or share my personal information,Yes
467,467,467,True,,,,True,,,,True,,,,True,convertunits_467,Do not sell or share my personal information,Yes
469,469,469,True,,,,True,,,,True,,,,True,0calc_469,Do not sell or share my personal information,Yes
481,481,481,True,com_481,Do not sell or share my personal information,Yes,True,,,,True,com_481,Do not sell or share my personal information,Yes,True,com_481,Do not sell or share my personal information,Yes
482,482,482,True,com_482,Do not sell or share my personal information,Yes,True,,,,True,com_482,Do not sell or share my personal information,Yes,True,com_482,Do not sell or share my personal information,Yes
526,526,526,True,,,,True,ask_526,Do not sell my personal information,Yes,True,ask_526,Do not sell my personal information,Yes,True,,,
554,554,554,True,lonelyplanet_554,Do not sell or share my personal information,,True,lonelyplanet_554,Do not sell or share my personal information,Yes,True,lonelyplanet_554,Do not sell or share my personal information,Yes,True,lonelyplanet_554,Do not sell or share my personal information,Yes
564,564,564,True,airfarewatchdog_564,,No,True,airfarewatchdog_564,,Yes,True,airfarewatchdog_564,,No,True,airfarewatchdog_564,,No
570,570,570,True,,,,True,marriott_570,Do not sell my personal information,Yes,True,,,,True,,,
575,575,575,True,,,,True,marriott_575,Do not sell my personal information,Yes,True,,,,True,,,
587,587,587,True,,,,True,,,,True,,,,True,com_587,Do not sell or share my personal information,Yes
639,639,639,True,malwarebytes_639,Do not sell or share my personal information,Yes,True,,,,True,,,,True,malwarebytes_639,Do not sell or share my personal information,Yes
657,657,657,True,net_657,,No,True,,,,True,,,,True,,,
700,700,700,True,ae_700,Do not sell or share my personal information,Yes,True,,,,True,,,,True,ae_700,Do not sell or share my personal information,Yes
707,707,707,True,,,,True,thenorthface_707,Do not sell my personal information,Yes,True,thenorthface_707,Do not sell my personal information,Yes,True,,,
720,720,720,True,glassesusa_720,Do not sell or share my personal information,Yes,True,,,,True,,,,True,glassesusa_720,Do not sell or share my personal information,Yes
722,722,722,True,yandy_722,Do not sell or share my personal information,Yes,True,,,,True,yandy_722,Do not sell or share my personal information,Yes,True,yandy_722,Do not sell or share my personal information,Yes
761,761,761,True,finishline_761,Do not sell or share my personal information,Yes,True,,,,True,,,,True,finishline_761,Do not sell or share my personal information,Yes
786,786,786,True,airforce_786,Do not sell or share my personal information,Yes,True,,,,True,airforce_786,Do not sell or share my personal information,Yes,True,airforce_786,Do not sell or share my personal information,Yes
835,835,835,True,,,,True,pursuitboats_835,,No,True,pursuitboats_835,,No,True,pursuitboats_835,,No
859,859,859,True,fashionbeans_859,Do not sell or share my personal information,Yes,True,,,,True,fashionbeans_859,Do not sell or share my personal information,Yes,True,fashionbeans_859,Do not sell or share my personal information,Yes
867,867,867,True,,,,True,,,,True,,,,True,boldsky_867,Do not sell or share my personal information,Yes
920,920,920,True,behance_920,Do not sell or share my personal information,Yes,True,,,,True,behance_920,Do not sell or share my personal information,Yes,True,behance_920,Do not sell or share my personal information,Yes
921,921,921,True,,,,True,monster_921,Do not sell my personal information,Yes,True,monster_921,Do not sell my personal information,Yes,True,,,
974,974,974,True,,,,True,pandora_974,Do not sell my personal information,Yes,True,,,,True,,,
986,986,986,True,,,,True,fandango_986,Do not sell my personal information,Yes,True,fandango_986,Do not sell my personal information,Yes,True,,,
994,994,994,True,vividseats_994,Do not sell or share my personal information,Yes,True,,,,True,vividseats_994,Do not sell or share my personal information,Yes,True,vividseats_994,Do not sell or share my personal information,Yes
997,997,997,True,com_997,Do not sell my personal information,Yes,True,,,,True,,,,True,com_997,Do not sell my personal information,Yes
999,999,999,True,,,,True,cirquedusoleil_999,Do not sell my personal information,Yes,True,cirquedusoleil_999,Do not sell or share my personal information,Yes,True,,,
1015,1015,1015,True,forbes_1015,Do not sell or share my personal information,Yes,True,forbes_1015,Do not sell or share my personal information,Yes,True,forbes_1015,Do not sell or share my personal information,Yes,True,,,
1017,1017,1017,True,wsj_1017,Do not sell or share my personal information,Yes,True,,,,True,wsj_1017,Do not sell or share my personal information,Yes,True,wsj_1017,Do not sell or share my personal information,Yes
1054,1054,1054,True,forbes_1054,Do not sell or share my personal information,Yes,True,forbes_1054,Do not sell or share my personal information,Yes,True,forbes_1054,Do not sell or share my personal information,Yes,True,,,
1059,1059,1059,True,libertymutual_1059,Do not sell or share my personal information,Yes,True,,,,True,,,,True,libertymutual_1059,Do not sell or share my personal information,Yes
1061,1061,1061,True,libertymutual_1061,Do not sell or share my personal information,Yes,True,,,,True,,,,True,libertymutual_1061,Do not sell or share my personal information,Yes
