,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,213,com_213,[],[],[],[],[]
1,928,co_928,[],[],[],[],[]
2,202,com_202,[],[],[],[],[]
3,820,audiusa_820,['Do Not Sell or Share My Personal Information'],[],"['If you have blocked cookies through your browser settings, we will be unable to comply with your Preference Center opt out request.']",[],[]
4,1025,bizjournals_1025,['Do Not Sell or Share My Personal Information; Limit the Use of My Sensitive Personal Information'],['Your Privacy Choices'],"['If you opt out, your personal information may continue to be disclosed to our service providers as permitted under applicable law. You may also continue to see advertising that may include interest-based information about your visit and information from third parties.  Please remember that this opt out is brand-, browser-, and device-specific, so if you visit other ACBJ brands, visit this site from a different browser or device, or clear your cookies, you will need to opt out again.', 'opt out of other sales/shares,', '\nThe California Consumer Privacy Act (CCPA) grants California consumers the right to opt out of the “sale” and “sharing” (as those terms are defined under applicable law) of their personal information, and to limit the use and disclosure of their sensitive personal information. ACBJ may sell/share your personal information depending on the ways in which you interact with us. We may also use and disclose certain of your sensitive personal information for Online Behavioral Advertising (OBA) and cross-contextual behavioral advertising purposes. \n', 'This will also limit the use of your sensitive personal information. This opt out function is brand-, browser-, and device-specific. Therefore, if you visit other ACBJ brands, visit this site from a different browser or device, or clear your cookies, you will need to opt out of sales/shares through cookies again.\n', 'move the “Sell/Share My Personal Information On This Site Using Cookies” toggle to the left, submit the Opt Out Form, and press “Confirm my Choices.”', 'opt out of both types of sales/shares', 'provide your information on the Opt Out Form below, which will help us locate your records, and press submit.', 'opt out of online sales/shares that occur on this site', ' Since your sensitive personal information may be used in some of the sales/shares described above, we treat your request to opt out of sales/shares as a request to limit the use of your sensitive personal information in that context.']",[],[]
5,846,avon_846,[],[],[],[],[]
6,675,consumerreports_675,[' Do Not Sell or Share My Personal Information '],[],"[' If you are a Print or All-Access Member and receive Consumer Reports magazine or Consumer Reports on Health through the mail, we may share your name and mailing address for direct mail purposes with selected companies offering products or services that we believe will be of interest to you. We do this to improve our customer list and help support our mission. If you prefer not to receive these offers, please click the Opt Out link ', '\nFollow these directions to opt out of ', 'CR shares personal information with third parties through the use of third party tracking technologies (or cookies) for online users and through sharing certain information about print members for marketing purposes. We do this to help support our nonprofit mission and do not accept third party advertising. But we understand that you may prefer that we not share your information in these ways. Here is how you can opt out of this type of data sharing:\n', 'Directions to Opt Out of Facebook Commenting', 'Opt Out of Facebook Commenting']",[],[]
7,700,ae_700,[],[],[],[],[]
8,989,amctheatres_989,[],[],[],[],[]
9,30,com_30,[],[],[],[],[]
10,949,brainpop_949,"['\n          Do Not Sell My Personal Information\n        ', 'Do not sell or share my personal information']",[],[],[],[]
11,1080,collegeboard_1080,[],[],[],[],[]
12,743,com_743,[],[],[],[],[]
13,543,airasia_543,[],[],[],[],[]
14,951,com_951,[],[],[],[],[]
15,219,amazon_219,[],[],[],[],[]
16,133,com_133,[],[],[],[],[]
17,345,apple_345,[],[],[],[],[]
18,978,allmusic_978,[''],[],[],[],[]
19,93,com_93,"['Do not sell or share my personal information.', 'Do Not Sell Or Share My Personal Information']",[],[],[],[]
20,593,bestbuy_593,"['', 'CA Do Not Sell/Share My Personal Information']",[],"['', 'Targeted Advertising Opt Out']",[],[]
21,953,com_953,[],[],[],[],[]
22,547,britishairways_547,[],[],[],[],[]
23,324,comparethemarket_324,[],[],[],[],[]
24,1016,businessinsider_1016,[''],['\n            Your Privacy Choices\n              '],[],[],[]
25,191,com_191,['Do not sell or share my personal information'],[],[],[],[]
26,833,boatshop24_833,['Do Not Sell My Personal Information'],[],[],[],[]
27,16,bonappetit_16,[''],['Your Privacy Choices'],[],[],[]
28,963,com_963,"['', 'Do Not Sell or Share My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.']",[],[]
29,192,allaboutbirds_192,[],[],[],[],[]
30,915,com_915,[],[],[],[],[]
31,21,com_21,"['', 'Do not sell or share my personal information']",[],[''],[],[]
32,433,com_433,['Do Not Sell or Share My Personal Information'],[],"['Under applicable state privacy laws, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.  If you opt out we will not be able to offer you personalized ads and will not hand over your personal information to any third parties. Additionally, you may contact us for further clarification about your rights under applicable state privacy laws as noted in our privacy policy. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
33,343,amazon_343,[],[],[],[],[]
34,810,chevrolet_810,[],[],[],[],[]
35,228,com_228,[],[],[],[],[]
36,3,com_3,"['Do not sell or share my personal information.', 'Do Not Sell Or Share My Personal Information']",[],[],[],[]
37,59,calorieking_59,[],[],[],[],[]
38,397,com_397,[],[],[],[],[]
39,48,bet-at-home_48,[],[],[],[],[]
40,793,autotrader_793,[],[],[],[],[]
41,794,caranddriver_794,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
42,608,bissell_608,[],[],['Your Opt Out Preference Signal is Honored'],[],[]
43,99,com_99,"['Do Not Sell or Share My P. I.', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
44,784,airliners_784,['Do Not Sell My Data'],[],[],[],[]
45,576,choicehotels_576,"['Do Not Sell My Personal Information', 'Do Not Sell Preferences']",[],"['Many websites use cookies or other tags to collect information that make the websites work as visitors expect and generally enhance visitors’ website experience.  In some situations, the collected information could be defined as ‘personal information’ under the California Consumer Privacy Act of 2018 (CCPA).  Business partners might be allowed to access and use the information, which could be defined as ‘selling personal information’ under the CCPA.  The Act enables Californians to opt out of selling personal information.', '\n\nPlease be aware that opting out on the device you are currently using will opt you out only on that device.  To opt out on other devices, please return to choicehotels.com on each device and opt out.  Also, if you clear cookies, or if your browser automatically deletes cookies, you will need to opt out again the next time you visit our site.\n                ', '  Within Choice Hotels, selling of personal information is limited to allowing a restricted number of media companies access to our website’s information such as browsing history, search history and information regarding consumers’ interaction on our website.  You can opt out of this sharing via the sliding selector above.', '  Please be aware that opting out on the device you are currently using will opt you out only on that device.  To opt out on other devices, please return to choicehotels.com on each device and opt out.  Also, if you clear cookies, or if your browser automatically deletes cookies, you will need to opt out again the next time you visit our site. ', '\n\nWithin Choice Hotels, selling of personal information is limited to allowing a restricted number of media companies access to our website’s information such as browsing history, search history and information regarding consumers’ interaction on our website.  You can opt out of this sharing via the sliding selector above.']",[],[]
46,209,cesarsway_209,[],[],[],[],[]
47,161,com_161,['Do Not Sell or Share My Personal Information'],[],[''],[],[]
48,569,airbnb_569,[],['Your Privacy Choices'],[],[],[]
49,232,audible_232,[],['Your Ads Privacy Choices'],[],[],[]
50,231,com_231,[],[],[],[],[]
51,382,astrology_382,['Do Not Sell My Info'],[],[],[],[]
52,802,carwale_802,[],[],[],[],[]
53,617,computerhope_617,[],[],[],[],[]
54,477,calculatorsoup_477,[],[],[],[],[]
55,467,convertunits_467,['Do Not Sell or Share My Personal Information'],[],"['Opt out', 'Opt out of the sale or sharing of personal information']",[],[]
56,70,cdc_70,[],[],[],[],[]
57,796,carmax_796,['Do Not Sell or Share My Information'],[],[],[],[]
58,110,biglots_110,['California Customers Only: Do Not Sell My Info'],[],[],[],[]
59,632,com_632,['Do Not Sell or Share My Personal Information'],[],[],[],[]
60,112,ashleyfurniture_112,[],[],[''],[],[]
61,1053,chase_1053,[],[],[],[],[]
62,329,alibaba_329,[],[],[],[],[]
63,328,aliexpress_328,[],[],[],[],[]
64,898,behance_898,[],[],[],[],[]
65,858,cosmopolitan_858,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
66,999,cirquedusoleil_999,"['Do Not Sell or Share My Personal Data', 'Do Not Sell or Share My Personal Information']",[],"['Under the CPRA, you have the right to opt-out of the sale or sharing of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale or sharing of personal information by using this toggle switch. If you opt out we will not be able to offer you personalized ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
67,141,com_141,"[' Do Not Sell or Share My Personal Information', 'Do Not Sell or Share My Personal Information']",[],"['Our Properties use cookies for the performance and functionality of our sites, to personalize content and advertisements, to provide social media features, for analytics, and to provide you with a better experience. By clicking “Accept” or by continuing to use our Properties, you accept the use of cookies. California and Virginia residents can exercise their right to opt out of the sale of their data by', 'Under the California Consumer Privacy Act (CCPA) you have the right to opt-out of the sale of your personal information and the sharing of your personal information to third parties for cross-context behavioral advertsing. Other state privacy laws similar to the CCPA allow individuals similar rights. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
68,973,com_973,[],[],[],[],[]
69,47,bet9ja_47,[],[],[],[],[]
70,799,carfax_799,[],['Your Privacy Choices'],"['You have the right to opt out of sharing of your personal information for purposes of displaying Targeted Advertisements. To exercise your right, use the toggle button. If you opt out, CARFAX will not share your personal information for purposes of Targeted Advertisements.', 'If you have enabled privacy controls on your browser or device (such as a plugin), we will take that as a valid request to opt out and will not use Unique Identifiers for purposes of Targeted Advertisements.']",[],[]
71,125,bhg_125,['Do Not Sell My Personal Information'],[],[],[],[]
72,557,cheapoair_557,['Do Not Sell My Personal Information'],['Your Privacy Choices'],[],[],[]
73,456,allaboutcircuits_456,[],[],[],[],[]
74,496,competitor_496,['Do Not Sell My Personal Information'],[],[],[],[]
75,732,brastop_732,[],[],[],[],[]
76,636,avira_636,"['', ""\n                                                        Free forever. We don't sell your data.\n                                                    "", 'Do Not Sell or Share My Personal Data']",[],[],[],[]
77,685,asos_685,['Do Not Sell My Personal Information'],[],[],[],[]
78,509,akamai_509,[],[],[''],[],[]
79,737,com_737,['Do not sell my personal information'],[],[],[],[]
80,664,cnet_664,"['', '\n      Do Not Sell or Share My Personal Information\n    ']",[],[],[],[]
81,662,com_662,[],[],[],[],[]
82,621,com_621,[],[],[],[],[]
83,641,bitdefender_641,[],[],[],[],[]
84,642,comodo_642,[],[],[],[],[]
85,272,bbb_272,[],[],[],[],[]
86,1046,citi_1046,['Do Not Sell or Share My Personal Information'],[],[],[],[]
87,816,bmwusa_816,[' Do Not Sell My Personal Information'],[],[],[],[]
88,806,copart_806,[],[],[],[],[]
89,900,com_900,[],[],[],[],[]
90,736,bravissimo_736,[],[],[],[],[]
91,100,allposters_100,[],[' Your Privacy Choices'],[],[],[]
92,1089,allrecipes_1089,['Do Not Sell My Personal Information'],[],[],[],[]
93,548,alaskaair_548,[],[],[],[],[]
94,944,codecademy_944,['Do Not Sell My Personal Information'],[],[],[],[]
95,605,ajmadison_605,[],[],[],[],[]
96,588,com_588,[''],[],[],[],[]
97,351,bestbuy_351,"['', 'CA Do Not Sell/Share My Personal Information']",[],"['', 'Targeted Advertising Opt Out']",[],[]
98,402,biomedcentral_402,['Manage cookies/Do not sell my data'],[],[],[],[]
99,479,basketball-reference_479,[],[],[],[],[]
100,965,azlyrics_965,[],[],[],[],[]
101,797,carsforsale_797,[],[],[],[],[]
102,637,broadcom_637,"['Do Not Sell or Share My Personal Information', 'Do Not Sell or Share My Personal Data Settings']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale or sharing of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale or sharing of personal information by using the toggle switch above, switching it off in order to opt out of tracking. If you opt out, Broadcom will not be able to offer you personalized ads and will not hand over your personal information to any third parties. If you have enabled privacy controls on your browser (such as a plugin), Broadcom takes  that as a valid request to opt-out. Therefore, Broadcom will not be able to track your activity through the web. This may affect Broadcom’s ability to personalize ads according to your preferences.']",[],[]
103,849,co_849,['Do Not Sell My Personal Information'],[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
104,1021,cnn_1021,"['', 'Do Not Sell Or Share My Personal Information', 'Do Not Sell or Share My Personal Information']",[],[],['For California Residents Only'],[]
105,925,careerbuilder_925,['Do Not Sell My Personal Information'],[],[],[],[]
106,193,audubon_193,[],[],[],[],[]
107,1071,cigna_1071,[],[],[],[],[]
108,233,chegg_233,[],[],[],[],[]
109,1048,capitalone_1048,[],[],[],[],[]
110,1018,bloomberg_1018,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
111,558,bookingbuddy_558,[],[],[],[],[]
112,712,bluenile_712,[],[],[],[],[]
113,981,com_981,"['Do Not Sell My Personal Info', '']",[],[],[],[]
114,795,cars_795,['Do Not Sell My Personal Information'],[],[],[],[]
115,391,com_391,[],[],[],[],[]
116,854,birchbox_854,[],[],[],[],[]
117,984,com_984,"['', 'Do Not Sell or Share My Personal Info']",[],[''],[],['']
118,626,com_626,[],['Your Privacy Choices'],[],[],[]
119,148,com_148,[],[],[],[],[]
120,408,broadinstitute_408,[],[],[],[],[]
121,378,burlington_378,"['Do Not Sell My Personal Information', ' Do Not Sell or Share My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
122,372,bloomingdales_372,"['', 'Do Not Sell My Personal Information', 'Do Not Sell or Share My Personal Information']",[],"['Your Opt Out Preference Signal is Honored', 'These cookies collect information for analytics and to personalize your experience with targeted ads. If you opt out we will not be able to offer you personalized ads and will not share personal information with any third parties. ']",[],[]
123,103,art_103,[],"['', 'Your Privacy Choices']",[],[],[]
124,913,coroflot_913,[],[],[],[],[]
125,996,co_996,[],[],[],[],[]
